source,target,value,index
0,1,7.22113561630249,0
1,2,8.000211715698242,1
2,3,8.851337432861328,2
3,4,10.279775619506836,3
4,5,11.304624557495117,4
5,6,11.858841896057129,5
6,7,12.573142051696777,6
7,8,12.634186744689941,7
8,9,12.484036445617676,8
9,10,12.578441619873047,9
10,11,12.616371154785156,10
11,12,12.928317070007324,11
12,13,13.304298400878906,12
13,14,13.668550491333008,13
14,15,14.004714965820312,14
15,16,14.220898628234863,15
16,17,14.116180419921875,16
17,18,14.464716911315918,17
18,19,14.854147911071777,18
19,20,14.943981170654297,19
20,21,15.509907722473145,20
21,22,16.026151657104492,21
22,23,16.6046142578125,22
